wavelength,forest,grass,soil,urban,water
986.42,0.18616000000000002,0.38265,0.22474000000000002,0.17004999999999998,0.013219999999999999
991.86,0.18519999999999998,0.382,0.22417999999999996,0.16896,0.01268
997.3,0.18395,0.38101,0.22398999999999997,0.16814,0.01217
1002.74,0.18447,0.38379,0.22416999999999998,0.16763999999999998,0.011659999999999998
1008.18,0.1872,0.38901,0.22635,0.16767,0.011340000000000001
1013.62,0.19121999999999997,0.39669,0.22937,0.16961,0.011550000000000001
1019.06,0.19513999999999998,0.40442999999999996,0.23299000000000003,0.17164,0.01158
1024.5,0.19722999999999996,0.40544,0.23378000000000002,0.17088,0.01141
1029.95,0.19666999999999998,0.40262000000000003,0.23121999999999998,0.16996000000000003,0.01173
1035.39,0.19584,0.40092999999999995,0.22974999999999998,0.16768000000000002,0.01204
1040.83,0.19668999999999998,0.40369,0.2292,0.16741999999999999,0.01209
1046.27,0.19968999999999995,0.40902000000000005,0.23318000000000003,0.16908,0.0118
1051.71,0.20359,0.41646,0.23679,0.17181,0.01185
1057.15,0.20834000000000003,0.42586,0.24057,0.17428,0.012410000000000001
1062.59,0.20957000000000003,0.42664,0.24188,0.17442000000000002,0.01258
1068.03,0.21068000000000003,0.42827000000000004,0.24198999999999998,0.17437,0.012919999999999997
1073.47,0.20640999999999998,0.41775,0.23828999999999995,0.16999,0.01226
1078.91,0.20398,0.41491,0.23779999999999996,0.16808,0.0121
1084.35,0.20429,0.4154000000000001,0.23654000000000003,0.16692,0.011980000000000001
1089.79,0.20032,0.40865,0.23724000000000003,0.16731,0.011869999999999999
1095.23,0.19814,0.40495000000000003,0.2371,0.16701000000000002,0.01177
1100.67,0.19666,0.40247,0.23663000000000003,0.16648000000000002,0.01165
1106.11,0.19472,0.39916999999999997,0.23636999999999997,0.16612,0.011550000000000001
1111.55,0.19272,0.39574,0.23613999999999996,0.16576,0.01145
1116.99,0.19013999999999998,0.39139,0.23616,0.1656,0.01135
1122.43,0.18714999999999998,0.38608000000000003,0.23598,0.16529999999999997,0.01123
1127.87,0.18399000000000001,0.38018,0.23536,0.16468,0.01112
1133.32,0.17996,0.37272000000000005,0.23495,0.16419,0.01103
1138.76,0.17429999999999998,0.36233999999999994,0.23525999999999997,0.16427000000000003,0.01091
1144.2,0.16845,0.35165,0.23575,0.16448999999999997,0.010799999999999999
1149.64,0.16339,0.34234000000000003,0.2359,0.16446,0.01069
1155.08,0.15935,0.33464,0.23535,0.16388,0.010600000000000002
1160.52,0.15571,0.32771,0.23468,0.16321,0.010480000000000001
1165.96,0.15261999999999998,0.32206,0.23430999999999996,0.16275,0.01038
1171.4,0.15018000000000004,0.31753,0.23375000000000004,0.16219999999999998,0.01027
1176.84,0.14792000000000002,0.31345999999999996,0.23315000000000002,0.16157,0.010140000000000001
1182.28,0.14625,0.31066,0.23285,0.16119,0.01004
1187.72,0.14936999999999998,0.31899999999999995,0.23537999999999998,0.16287,0.009949999999999999
1193.16,0.15247,0.32731999999999994,0.23790999999999998,0.16457,0.009850000000000001
1198.6,0.15827,0.34402,0.24711000000000002,0.16899000000000003,0.01078
1204.04,0.15667000000000003,0.33675,0.24569999999999997,0.16810999999999998,0.010490000000000001
1209.48,0.16054,0.34457000000000004,0.25108,0.17062000000000005,0.01054
1214.92,0.1617,0.34567,0.25237,0.17175,0.010519999999999998
1220.36,0.16521,0.35258,0.25617,0.17287999999999998,0.010780000000000001
1225.8,0.17059,0.36074,0.26054,0.17653000000000002,0.01032
1231.24,0.17263,0.3636400000000001,0.26239,0.17701000000000003,0.010600000000000002
1236.69,0.1752,0.36986,0.26549,0.178,0.01105
1242.13,0.17791,0.37438000000000005,0.26715,0.17943000000000003,0.01119
1247.57,0.17980000000000002,0.3775099999999999,0.26907000000000003,0.17957,0.01149
1253.01,0.18203000000000003,0.38222999999999996,0.27061999999999997,0.18055000000000002,0.01143
1258.45,0.18327,0.38760000000000006,0.27220000000000005,0.18019,0.01178
1263.89,0.18625999999999998,0.39197999999999994,0.27502,0.18153999999999998,0.011809999999999998
1269.33,0.18956,0.39085000000000003,0.27978000000000003,0.18649,0.011579999999999998
1274.77,0.18134,0.37290000000000006,0.2694500000000001,0.17882,0.01082
1280.21,0.18438,0.38310999999999995,0.27537,0.18188,0.011479999999999999
1285.65,0.18261,0.37886999999999993,0.27332999999999996,0.18016000000000004,0.011300000000000001
1291.09,0.18165,0.37839,0.27349999999999997,0.17964,0.01089
1296.53,0.17994000000000002,0.37651,0.27321999999999996,0.17903,0.01105
1301.97,0.17717,0.37237,0.2721,0.17742999999999998,0.011539999999999998
1307.41,0.17095,0.35991000000000006,0.26727999999999996,0.17414,0.01119
1312.85,0.16917000000000001,0.35524999999999995,0.26771,0.17485,0.01102
1318.29,0.15753999999999999,0.33169,0.25675,0.16689,0.01055
1323.73,0.15145,0.32097,0.25189,0.16499000000000003,0.01108
1329.17,0.16049,0.34966,0.27285,0.17611000000000002,0.012710000000000003
1334.61,0.15250999999999998,0.33138,0.26951,0.17431000000000002,0.012440000000000001
1340.06,0.14694999999999997,0.31965,0.26561,0.17243,0.012130000000000002
1345.5,0.14142,0.30809,0.26131,0.17031000000000002,0.01183
1350.94,0.13418,0.29282,0.25669,0.16794000000000003,0.01152
